Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Albox;2020;Mujeres;De 16 a 39 años;Inmigraciones;146;
Albox;2020;Mujeres;De 40 a 64 años;Inmigraciones;137;
Albox;2020;Mujeres;De 65 y más años;Inmigraciones;43;
Albox;2020;Mujeres;TOTAL;Inmigraciones;388;
Albox;2020;Ambos sexos;Menores de 16 años;Inmigraciones;128;
Albox;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;313;
Albox;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;313;
Albox;2020;Ambos sexos;De 65 y más años;Inmigraciones;91;
Albox;2020;Ambos sexos;TOTAL;Inmigraciones;845;
Albox;2021;Hombres;Menores de 16 años;Inmigraciones;67;
Albox;2021;Hombres;De 16 a 39 años;Inmigraciones;171;
Albox;2021;Hombres;De 40 a 64 años;Inmigraciones;134;
Albox;2021;Hombres;De 65 y más años;Inmigraciones;46;
Albox;2021;Hombres;TOTAL;Inmigraciones;418;
Albox;2021;Mujeres;Menores de 16 años;Inmigraciones;72;
Albox;2021;Mujeres;De 16 a 39 años;Inmigraciones;137;
Albox;2021;Mujeres;De 40 a 64 años;Inmigraciones;125;
Albox;2021;Mujeres;De 65 y más años;Inmigraciones;39;
Albox;2021;Mujeres;TOTAL;Inmigraciones;373;
Albox;2021;Ambos sexos;Menores de 16 años;Inmigraciones;139;
Albox;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;308;
Albox;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;259;
Albox;2021;Ambos sexos;De 65 y más años;Inmigraciones;85;
Albox;2021;Ambos sexos;TOTAL;Inmigraciones;791;
Alcolea;2019;Hombres;Menores de 16 años;Inmigraciones;2;
Alcolea;2019;Hombres;De 16 a 39 años;Inmigraciones;10;
Alcolea;2019;Hombres;De 40 a 64 años;Inmigraciones;4;
Alcolea;2019;Hombres;De 65 y más años;Inmigraciones;2;
Alcolea;2019;Hombres;TOTAL;Inmigraciones;18;
Alcolea;2019;Mujeres;Menores de 16 años;Inmigraciones;3;
Alcolea;2019;Mujeres;De 16 a 39 años;Inmigraciones;8;
Alcolea;2019;Mujeres;De 40 a 64 años;Inmigraciones;7;
Alcolea;2019;Mujeres;De 65 y más años;Inmigraciones;1;
Alcolea;2019;Mujeres;TOTAL;Inmigraciones;19;
Alcolea;2019;Ambos sexos;Menores de 16 años;Inmigraciones;5;
Alcolea;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;18;
Alcolea;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;11;
Alcolea;2019;Ambos sexos;De 65 y más años;Inmigraciones;3;
Alcolea;2019;Ambos sexos;TOTAL;Inmigraciones;37;
Alcolea;2020;Hombres;Menores de 16 años;Inmigraciones;8;
Alcolea;2020;Hombres;De 16 a 39 años;Inmigraciones;7;
Alcolea;2020;Hombres;De 40 a 64 años;Inmigraciones;5;
