Territorio;Características básicas de la explotación;Medida;Valor;
Bédar;UGT;Colmenas;0;
Bédar;UGT;Equinos;5;
Bédar;UGT;Bovinos;0;
Bédar;UGT;Ovinos;92,7;
Bédar;UGT;Caprinos;328;
Bédar;UGT;Porcinos;0;
Bédar;UGT;Aves corral;0,066;
Bédar;UGT;Conejas madre;0;
Beires;Nº explotaciones;Bovinos;0;
Beires;Nº explotaciones;Ovinos;0;
Beires;Nº explotaciones;Caprinos;1;
Beires;Nº explotaciones;Porcinos;0;
Beires;Nº explotaciones;Aves corral;0;
Beires;Nº explotaciones;Conejas madre;0;
Beires;Nº explotaciones;Colmenas;0;
Beires;Cabezas;Equinos;0;
Beires;Cabezas;Bovinos;0;
Beires;Cabezas;Ovinos;0;
Beires;Cabezas;Caprinos;260;
Beires;Cabezas;Porcinos;0;
Beires;Cabezas;Aves corral;0;
Beires;Cabezas;Conejas madre;0;
Beires;UGT;Colmenas;0;
Beires;UGT;Equinos;0;
Beires;UGT;Bovinos;0;
Beires;UGT;Ovinos;0;
Beires;UGT;Caprinos;26;
Beires;UGT;Porcinos;0;
Beires;UGT;Aves corral;0;
Beires;UGT;Conejas madre;0;
Benahadux;Nº explotaciones;Bovinos;0;
Benahadux;Nº explotaciones;Ovinos;2;
Benahadux;Nº explotaciones;Caprinos;2;
Benahadux;Nº explotaciones;Porcinos;0;
Benahadux;Nº explotaciones;Aves corral;2;
Benahadux;Nº explotaciones;Conejas madre;1;
Benahadux;Nº explotaciones;Colmenas;0;
Benahadux;Cabezas;Equinos;1;
Benahadux;Cabezas;Bovinos;0;
Benahadux;Cabezas;Ovinos;784;
Benahadux;Cabezas;Caprinos;59;
Benahadux;Cabezas;Porcinos;0;
Benahadux;Cabezas;Aves corral;33;
Benahadux;Cabezas;Conejas madre;3;
Benahadux;UGT;Colmenas;0;
Benahadux;UGT;Equinos;1;
Benahadux;UGT;Bovinos;0;
Benahadux;UGT;Ovinos;78,4;
Benahadux;UGT;Caprinos;5,9;
Benahadux;UGT;Porcinos;0;
Benahadux;UGT;Aves corral;0,484;
Benahadux;UGT;Conejas madre;0,06;
Benitagla;Nº explotaciones;Bovinos;0;
Benitagla;Nº explotaciones;Ovinos;0;
Benitagla;Nº explotaciones;Caprinos;0;
Benitagla;Nº explotaciones;Porcinos;0;
Benitagla;Nº explotaciones;Aves corral;0;
Benitagla;Nº explotaciones;Conejas madre;0;
Benitagla;Nº explotaciones;Colmenas;0;
Benitagla;Cabezas;Equinos;0;
Benitagla;Cabezas;Bovinos;0;
Benitagla;Cabezas;Ovinos;0;
Benitagla;Cabezas;Caprinos;0;
Benitagla;Cabezas;Porcinos;0;
Benitagla;Cabezas;Aves corral;0;
Benitagla;Cabezas;Conejas madre;0;
Benitagla;UGT;Colmenas;0;
Benitagla;UGT;Equinos;0;
Benitagla;UGT;Bovinos;0;
Benitagla;UGT;Ovinos;0;
Benitagla;UGT;Caprinos;0;
Benitagla;UGT;Porcinos;0;
Benitagla;UGT;Aves corral;0;
Benitagla;UGT;Conejas madre;0;
Benizalón;Nº explotaciones;Bovinos;0;
Benizalón;Nº explotaciones;Ovinos;4;
Benizalón;Nº explotaciones;Caprinos;7;
Benizalón;Nº explotaciones;Porcinos;0;
Benizalón;Nº explotaciones;Aves corral;0;
Benizalón;Nº explotaciones;Conejas madre;0;
Benizalón;Nº explotaciones;Colmenas;1;
Benizalón;Cabezas;Equinos;2;
Benizalón;Cabezas;Bovinos;0;
Benizalón;Cabezas;Ovinos;114;
Benizalón;Cabezas;Caprinos;1216;
Benizalón;Cabezas;Porcinos;0;
Benizalón;Cabezas;Aves corral;0;
Benizalón;Cabezas;Conejas madre;0;
Benizalón;UGT;Colmenas;30;
Benizalón;UGT;Equinos;7;
Benizalón;UGT;Bovinos;0;
Benizalón;UGT;Ovinos;11,4;
Benizalón;UGT;Caprinos;121,6;
Benizalón;UGT;Porcinos;0;
Benizalón;UGT;Aves corral;0;
Benizalón;UGT;Conejas madre;0;
Bentarique;Nº explotaciones;Bovinos;0;
Bentarique;Nº explotaciones;Ovinos;0;
