Territorio;Tipo de entidad de credito;Medida;Valor;
Senes;Bancos;Nº de oficinas;-;
Senes;Cooperativas de credito;Nº de oficinas;-;
Senes;Sucursales comunitarias;Nº de oficinas;-;
Senes;Establecimientos financieros de credito;Nº de oficinas;-;
Senes;TOTAL;Nº de oficinas;-;
Serón;Bancos;Nº de oficinas;-;
Serón;Cooperativas de credito;Nº de oficinas;1;
Serón;Sucursales comunitarias;Nº de oficinas;-;
Serón;Establecimientos financieros de credito;Nº de oficinas;-;
Serón;TOTAL;Nº de oficinas;1;
Sierro;Bancos;Nº de oficinas;-;
Sierro;Cooperativas de credito;Nº de oficinas;-;
Sierro;Sucursales comunitarias;Nº de oficinas;-;
Sierro;Establecimientos financieros de credito;Nº de oficinas;-;
Sierro;TOTAL;Nº de oficinas;-;
Somontín;Bancos;Nº de oficinas;-;
Somontín;Cooperativas de credito;Nº de oficinas;-;
Somontín;Sucursales comunitarias;Nº de oficinas;-;
Somontín;Establecimientos financieros de credito;Nº de oficinas;-;
Somontín;TOTAL;Nº de oficinas;-;
Sorbas;Bancos;Nº de oficinas;1;
Sorbas;Cooperativas de credito;Nº de oficinas;1;
Sorbas;Sucursales comunitarias;Nº de oficinas;-;
Sorbas;Establecimientos financieros de credito;Nº de oficinas;-;
Sorbas;TOTAL;Nº de oficinas;2;
Suflí;Bancos;Nº de oficinas;-;
Suflí;Cooperativas de credito;Nº de oficinas;-;
Suflí;Sucursales comunitarias;Nº de oficinas;-;
Suflí;Establecimientos financieros de credito;Nº de oficinas;-;
Suflí;TOTAL;Nº de oficinas;-;
Tabernas;Bancos;Nº de oficinas;2;
Tabernas;Cooperativas de credito;Nº de oficinas;1;
Tabernas;Sucursales comunitarias;Nº de oficinas;-;
Tabernas;Establecimientos financieros de credito;Nº de oficinas;-;
Tabernas;TOTAL;Nº de oficinas;3;
Taberno;Bancos;Nº de oficinas;-;
Taberno;Cooperativas de credito;Nº de oficinas;1;
Taberno;Sucursales comunitarias;Nº de oficinas;-;
Taberno;Establecimientos financieros de credito;Nº de oficinas;-;
Taberno;TOTAL;Nº de oficinas;1;
Tahal;Bancos;Nº de oficinas;-;
Tahal;Cooperativas de credito;Nº de oficinas;-;
