Territorio;Estado del dato;Tipo de establecimiento turístico;Medida;Valor;
Bentarique;Provisional;Hostal;Nº de plazas;-;
Bentarique;Provisional;Hotel;Nº de plazas;-;
Bentarique;Provisional;Hotel-Apartamento;Nº de plazas;-;
Bentarique;Provisional;Pensión;Nº de plazas;-;
Bentarique;Provisional;Albergues;Nº de plazas;-;
Bentarique;Provisional;Campings;Nº de plazas;-;
Bentarique;Provisional;Casas Rurales;Nº de plazas;-;
Bentarique;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Bentarique;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Bentarique;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Bentarique;Provisional;Total;Nº de plazas;-;
Berja;Provisional;Apartamentos turísticos;Nº de plazas;-;
Berja;Provisional;Hostal;Nº de plazas;-;
Berja;Provisional;Hotel;Nº de plazas;-;
Berja;Provisional;Hotel-Apartamento;Nº de plazas;-;
Berja;Provisional;Pensión;Nº de plazas;-;
Berja;Provisional;Albergues;Nº de plazas;-;
Berja;Provisional;Campings;Nº de plazas;-;
Berja;Provisional;Casas Rurales;Nº de plazas;-;
Berja;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;64;
Berja;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Berja;Provisional;Viviendas con fines turísticos;Nº de plazas;42;
Berja;Provisional;Total;Nº de plazas;155;
Canjáyar;Provisional;Apartamentos turísticos;Nº de plazas;-;
Canjáyar;Provisional;Hostal;Nº de plazas;-;
Canjáyar;Provisional;Hotel;Nº de plazas;-;
Canjáyar;Provisional;Hotel-Apartamento;Nº de plazas;-;
Canjáyar;Provisional;Pensión;Nº de plazas;-;
Canjáyar;Provisional;Albergues;Nº de plazas;-;
Canjáyar;Provisional;Campings;Nº de plazas;-;
Canjáyar;Provisional;Casas Rurales;Nº de plazas;-;
Canjáyar;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Canjáyar;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Canjáyar;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Canjáyar;Provisional;Total;Nº de plazas;45;
Cantoria;Provisional;Apartamentos turísticos;Nº de plazas;-;
Cantoria;Provisional;Hostal;Nº de plazas;-;
Cantoria;Provisional;Hotel;Nº de plazas;-;
Cantoria;Provisional;Hotel-Apartamento;Nº de plazas;-;
Cantoria;Provisional;Pensión;Nº de plazas;-;
Cantoria;Provisional;Albergues;Nº de plazas;-;
Cantoria;Provisional;Campings;Nº de plazas;-;
Cantoria;Provisional;Casas Rurales;Nº de plazas;-;
Cantoria;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;40;
Cantoria;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Cantoria;Provisional;Viviendas con fines turísticos;Nº de plazas;24;
Cantoria;Provisional;Total;Nº de plazas;76;
Carboneras;Provisional;Apartamentos turísticos;Nº de plazas;452;
Carboneras;Provisional;Hostal;Nº de plazas;161;
Carboneras;Provisional;Hotel;Nº de plazas;343;
Carboneras;Provisional;Hotel-Apartamento;Nº de plazas;-;
Carboneras;Provisional;Pensión;Nº de plazas;132;
Carboneras;Provisional;Albergues;Nº de plazas;-;
Carboneras;Provisional;Campings;Nº de plazas;-;
Carboneras;Provisional;Casas Rurales;Nº de plazas;-;
Carboneras;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;62;
Carboneras;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Carboneras;Provisional;Viviendas con fines turísticos;Nº de plazas;2037;
Carboneras;Provisional;Total;Nº de plazas;3434;
Castro de Filabres;Provisional;Apartamentos turísticos;Nº de plazas;-;
Castro de Filabres;Provisional;Hostal;Nº de plazas;-;
Castro de Filabres;Provisional;Hotel;Nº de plazas;-;
Castro de Filabres;Provisional;Hotel-Apartamento;Nº de plazas;-;
Castro de Filabres;Provisional;Pensión;Nº de plazas;-;
Castro de Filabres;Provisional;Albergues;Nº de plazas;-;
Castro de Filabres;Provisional;Campings;Nº de plazas;-;
Castro de Filabres;Provisional;Casas Rurales;Nº de plazas;-;
Castro de Filabres;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Castro de Filabres;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Castro de Filabres;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Castro de Filabres;Provisional;Total;Nº de plazas;-;
Chercos;Provisional;Apartamentos turísticos;Nº de plazas;-;
Chercos;Provisional;Hostal;Nº de plazas;-;
Chercos;Provisional;Hotel;Nº de plazas;-;
Chercos;Provisional;Hotel-Apartamento;Nº de plazas;-;
Chercos;Provisional;Pensión;Nº de plazas;-;
Chercos;Provisional;Albergues;Nº de plazas;-;
Chercos;Provisional;Campings;Nº de plazas;-;
Chercos;Provisional;Casas Rurales;Nº de plazas;-;
Chercos;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Chercos;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Chercos;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Chercos;Provisional;Total;Nº de plazas;-;
Chirivel;Provisional;Apartamentos turísticos;Nº de plazas;-;
Chirivel;Provisional;Hostal;Nº de plazas;-;
Chirivel;Provisional;Hotel;Nº de plazas;-;
Chirivel;Provisional;Hotel-Apartamento;Nº de plazas;-;
Chirivel;Provisional;Pensión;Nº de plazas;-;
Chirivel;Provisional;Albergues;Nº de plazas;-;
Chirivel;Provisional;Campings;Nº de plazas;-;
Chirivel;Provisional;Casas Rurales;Nº de plazas;-;
Chirivel;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Chirivel;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Chirivel;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Chirivel;Provisional;Total;Nº de plazas;113;
Cóbdar;Provisional;Apartamentos turísticos;Nº de plazas;-;
Cóbdar;Provisional;Hostal;Nº de plazas;-;
Cóbdar;Provisional;Hotel;Nº de plazas;-;
Cóbdar;Provisional;Hotel-Apartamento;Nº de plazas;-;
Cóbdar;Provisional;Pensión;Nº de plazas;-;
Cóbdar;Provisional;Albergues;Nº de plazas;-;
Cóbdar;Provisional;Campings;Nº de plazas;-;
Cóbdar;Provisional;Casas Rurales;Nº de plazas;-;
Cóbdar;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Cóbdar;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Cóbdar;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Cóbdar;Provisional;Total;Nº de plazas;-;
Cuevas del Almanzora;Provisional;Apartamentos turísticos;Nº de plazas;439;
