Territorio;Medida;Valor;
Chiclana de la Frontera;Renta por unidad de consumo;16430;
Chipiona;Renta neta media por persona;9107;
Chipiona;Renta bruta media por persona;10352;
Chipiona;Renta neta media por hogar;24180;
Chipiona;Renta bruta media por hogar;27482;
Chipiona;Renta por unidad de consumo;13685;
Conil de la Frontera;Renta neta media por persona;10701;
Conil de la Frontera;Renta bruta media por persona;12950;
Conil de la Frontera;Renta neta media por hogar;27295;
Conil de la Frontera;Renta bruta media por hogar;33026;
Conil de la Frontera;Renta por unidad de consumo;16266;
El Bosque;Renta neta media por persona;11134;
El Bosque;Renta bruta media por persona;12969;
El Bosque;Renta neta media por hogar;27473;
El Bosque;Renta bruta media por hogar;32001;
El Bosque;Renta por unidad de consumo;16500;
El Gastor;Renta neta media por persona;10286;
El Gastor;Renta bruta media por persona;11588;
El Gastor;Renta neta media por hogar;22398;
El Gastor;Renta bruta media por hogar;25230;
El Gastor;Renta por unidad de consumo;14634;
El Puerto de Santa María;Renta neta media por persona;12235;
El Puerto de Santa María;Renta bruta media por persona;14744;
El Puerto de Santa María;Renta neta media por hogar;33412;
El Puerto de Santa María;Renta bruta media por hogar;40264;
El Puerto de Santa María;Renta por unidad de consumo;18690;
Espera;Renta neta media por persona;9775;
Espera;Renta bruta media por persona;10910;
Espera;Renta neta media por hogar;24062;
Espera;Renta bruta media por hogar;26852;
Espera;Renta por unidad de consumo;14448;
Grazalema;Renta neta media por persona;10232;
Grazalema;Renta bruta media por persona;11604;
Grazalema;Renta neta media por hogar;24032;
Grazalema;Renta bruta media por hogar;27253;
Grazalema;Renta por unidad de consumo;14892;
Jerez de la Frontera;Renta neta media por persona;11413;
Jerez de la Frontera;Renta bruta media por persona;13497;
Jerez de la Frontera;Renta neta media por hogar;30213;
Jerez de la Frontera;Renta bruta media por hogar;35731;
Jerez de la Frontera;Renta por unidad de consumo;17302;
Jimena de la Frontera;Renta neta media por persona;10051;
Jimena de la Frontera;Renta bruta media por persona;11593;
Jimena de la Frontera;Renta neta media por hogar;26364;
Jimena de la Frontera;Renta bruta media por hogar;30407;
Jimena de la Frontera;Renta por unidad de consumo;15327;
La Línea de la Concepción;Renta neta media por persona;10552;
