Territorio;Tipo de instalación;Medida;Valor;
Alsodux;Piscinas cubiertas;Espacios deportivos;-;
Alsodux;Pistas de atletismo;Espacios deportivos;-;
Alsodux;Pistas de padel;Espacios deportivos;-;
Alsodux;Pistas de petanca;Espacios deportivos;-;
Alsodux;Pistas de squash;Espacios deportivos;-;
Alsodux;Pistas de tenis;Espacios deportivos;-;
Alsodux;Pistas polideportivas;Espacios deportivos;-;
Alsodux;Salas;Espacios deportivos;-;
Alsodux;Velódromos;Espacios deportivos;-;
Alsodux;Otros espacios convencionales;Espacios deportivos;-;
Alsodux;Carriles de bicicleta;Espacios deportivos;-;
Alsodux;Circuitos de velocidad;Espacios deportivos;-;
Alsodux;Campos de golf;Espacios deportivos;-;
Alsodux;Pistas de hípica;Espacios deportivos;-;
