Territorio;Tipo de centros asistenciales;Medida;Valor;
Berja;Guarderías infantiles;Superficie solar;2684;
Berja;Albergues municipales;Nº centros;-;
Berja;Albergues municipales;Plazas;-;
Berja;Albergues municipales;Superficie cubierta;-;
Berja;Albergues municipales;Superficie aire libre;-;
Berja;Albergues municipales;Superficie solar;-;
Berja;Rehabilitación toxicómanos;Nº centros;1;
Berja;Rehabilitación toxicómanos;Plazas;-;
Berja;Rehabilitación toxicómanos;Superficie cubierta;120;
Berja;Rehabilitación toxicómanos;Superficie aire libre;0;
Berja;Rehabilitación toxicómanos;Superficie solar;120;
Berja;Otros;Nº centros;1;
Berja;Otros;Plazas;25;
Berja;Otros;Superficie cubierta;440;
Berja;Otros;Superficie aire libre;345;
Berja;Otros;Superficie solar;605;
Berja;TOTAL;Nº centros;6;
Berja;TOTAL;Plazas;330;
Berja;TOTAL;Superficie cubierta;5688;
Berja;TOTAL;Superficie aire libre;3240;
Berja;TOTAL;Superficie solar;6950;
Canjáyar;Centro de asistencia social;Nº centros;-;
Canjáyar;Centro de asistencia social;Plazas;-;
Canjáyar;Centro de asistencia social;Superficie cubierta;-;
Canjáyar;Centro de asistencia social;Superficie aire libre;-;
Canjáyar;Centro de asistencia social;Superficie solar;-;
Canjáyar;Residencia de ancianos;Nº centros;1;
Canjáyar;Residencia de ancianos;Plazas;49;
Canjáyar;Residencia de ancianos;Superficie cubierta;2806;
Canjáyar;Residencia de ancianos;Superficie aire libre;557;
Canjáyar;Residencia de ancianos;Superficie solar;2131;
Canjáyar;Guarderías infantiles;Nº centros;-;
Canjáyar;Guarderías infantiles;Plazas;-;
Canjáyar;Guarderías infantiles;Superficie cubierta;-;
Canjáyar;Guarderías infantiles;Superficie aire libre;-;
Canjáyar;Guarderías infantiles;Superficie solar;-;
Canjáyar;Albergues municipales;Nº centros;-;
Canjáyar;Albergues municipales;Plazas;-;
Canjáyar;Albergues municipales;Superficie cubierta;-;
Canjáyar;Albergues municipales;Superficie aire libre;-;
Canjáyar;Albergues municipales;Superficie solar;-;
Canjáyar;Rehabilitación toxicómanos;Nº centros;-;
Canjáyar;Rehabilitación toxicómanos;Plazas;-;
Canjáyar;Rehabilitación toxicómanos;Superficie cubierta;-;
Canjáyar;Rehabilitación toxicómanos;Superficie aire libre;-;
Canjáyar;Rehabilitación toxicómanos;Superficie solar;-;
Canjáyar;Otros;Nº centros;-;
